id,nome_completo,email,telefone,data_nascimento,endereco
1,Bryan Nunes,emanuella86@gmail.com,71 2342-7237,1967-05-02,"Praia João Gabriel da Rocha, 62, Distrito Industrial Do Jatoba, 10527-912 da Rosa / PE"
2,Enzo Gabriel da Paz,nicolas36@uol.com.br,(011) 5753-4656,1976-02-05,"Conjunto de Souza, Vila Inestan, 23486767 Barbosa / BA"
3,Alice Barros,acostela@ramos.br,(084) 4311 3840,1975-04-14,"Ladeira de Rocha, 33, Antonio Ribeiro De Abreu 1ª Seção, 07986958 Cunha / PI"
4,Danilo Duarte,camposlorena@yahoo.com.br,84 1654-0043,1969-01-14,"Núcleo de Monteiro, Vila Rica, 84126241 Fernandes da Praia / BA"
5,Maria Santos,clara05@carvalho.com,71 8112-1571,2004-11-22,"Condomínio Cunha, 1, Dom Bosco, 96261209 Aragão / PI"
6,Maria Sophia Silva,marcos-viniciusmoura@uol.com.br,+55 31 5596 4477,1977-07-15,"Estrada Guilherme Lopes, Mala E Cuia, 97079615 Cardoso / RR"
7,Caio das Neves,evelyn70@dias.br,+55 21 2284-2389,2002-10-18,"Jardim de Barros, Conjunto Providencia, 38265639 Ramos / PI"
8,João Miguel Aragão,luiz-gustavonascimento@yahoo.com.br,+55 (081) 8531-8350,1976-03-01,"Travessa de Oliveira, Bom Jesus, 57239-602 Jesus da Mata / SP"
9,Bruno Rocha,nogueiraana-clara@ig.com.br,+55 71 6020-4183,2001-05-09,"Trecho Miguel Nascimento, 83, Vila Real 1ª Seção, 82194532 Nogueira / RJ"
10,Noah Barbosa,cavalcantilorena@martins.br,(051) 7979 8682,1992-09-07,"Avenida de Sales, 32, Califórnia, 81925756 Ramos de Aragão / PR"
11,Marina Nascimento,sarah28@ig.com.br,(084) 9665 3200,1959-10-08,"Área de Carvalho, 26, Nova Pampulha, 72427427 Ferreira das Pedras / PA"
12,Laura Cavalcanti,martinsjoao-guilherme@hotmail.com,51 7859 5680,1969-08-26,"Vereda Luiz Felipe Fogaça, 76, Copacabana, 90890-965 Nunes / CE"
13,Bárbara Costa,igor85@castro.org,+55 (084) 2457 3821,1957-11-14,"Praça de Gonçalves, Vila Aeroporto, 56729-447 Melo da Mata / PR"
14,Calebe Aragão,cauealmeida@uol.com.br,71 1967 2017,1979-08-31,"Estação de Lima, 21, Vila Piratininga, 43002402 Freitas / SE"
15,Isadora Fernandes,castrorebeca@das.br,+55 (051) 8902 5707,1977-09-16,"Viaduto Catarina Gonçalves, Coração Eucarístico, 59201931 Farias Verde / RR"
16,Sophie da Luz,das-nevesmanuela@carvalho.br,(081) 9126 7863,1975-09-09,"Vale Vieira, 42, Marçola, 11692-068 Nascimento de Goiás / PE"
17,Gustavo Henrique Costela,da-motaguilherme@hotmail.com,+55 (031) 1741-7371,1969-07-28,"Setor Silveira, 28, Suzana, 47394389 Novaes / MA"
18,Sr. Carlos Eduardo Cavalcanti,aragaolucas@nogueira.com,+55 31 7706 2316,1968-06-29,"Parque de da Costa, 60, Novo Glória, 73792411 das Neves / PB"
19,Ana Luiza Nogueira,juan70@campos.br,0800 794 6623,1987-08-31,"Viela Laís da Luz, Conjunto Jardim Filadélfia, 03285583 Sales / CE"
20,Dr. Enzo Cardoso,leticiajesus@da.br,+55 (041) 2125 6478,1958-05-02,"Colônia Leonardo Mendes, 74, Vila Suzana Primeira Seção, 36799617 Carvalho das Flores / PA"
